period,race,sex,age,value
Expected Pop 2020,Asian/Pacific Islander,Female,45,3125.12
Expected Pop 2020,Asian/Pacific Islander,Female,50,2301.7
Expected Pop 2020,Asian/Pacific Islander,Female,55,1826.61
Expected Pop 2020,Asian/Pacific Islander,Female,60,1446.65
Expected Pop 2020,Asian/Pacific Islander,Female,65,1126.05
Expected Pop 2020,Asian/Pacific Islander,Female,70,901.74
Expected Pop 2020,Asian/Pacific Islander,Female,75,500.7
Expected Pop 2020,Asian/Pacific Islander,Female,80,317.06
Expected Pop 2020,Asian/Pacific Islander,Female,85,264.1
Expected Pop 2020,Asian/Pacific Islander,Male,0,3582.83
Expected Pop 2020,Asian/Pacific Islander,Male,5,2980.42
Expected Pop 2020,Asian/Pacific Islander,Male,10,2387.95
Expected Pop 2020,Asian/Pacific Islander,Male,15,2156.19
Expected Pop 2020,Asian/Pacific Islander,Male,20,1721.45
Expected Pop 2020,Asian/Pacific Islander,Male,25,2377.42
Expected Pop 2020,Asian/Pacific Islander,Male,30,3923.31
Expected Pop 2020,Asian/Pacific Islander,Male,35,3371.62
Expected Pop 2020,Asian/Pacific Islander,Male,40,3497.04
Expected Pop 2020,Asian/Pacific Islander,Male,45,3152.45
Expected Pop 2020,Asian/Pacific Islander,Male,50,2433.94
Expected Pop 2020,Asian/Pacific Islander,Male,55,1888.75
Expected Pop 2020,Asian/Pacific Islander,Male,60,1248.81
Expected Pop 2020,Asian/Pacific Islander,Male,65,924.89
Expected Pop 2020,Asian/Pacific Islander,Male,70,683.43
Expected Pop 2020,Asian/Pacific Islander,Male,75,437.75
Expected Pop 2020,Asian/Pacific Islander,Male,80,282.98
Expected Pop 2020,Asian/Pacific Islander,Male,85,200.15
Expected Pop 2020,Black non-Hispanic,Female,0,3265.94
Expected Pop 2020,Black non-Hispanic,Female,5,3162.22
Expected Pop 2020,Black non-Hispanic,Female,10,3403.57
Expected Pop 2020,Black non-Hispanic,Female,15,3209.27
Expected Pop 2020,Black non-Hispanic,Female,20,3102.26
Expected Pop 2020,Black non-Hispanic,Female,25,3562.86
Expected Pop 2020,Black non-Hispanic,Female,30,3903.11
Expected Pop 2020,Black non-Hispanic,Female,35,3525.31
Expected Pop 2020,Black non-Hispanic,Female,40,3092.65
Expected Pop 2020,Black non-Hispanic,Female,45,2981.27
Expected Pop 2020,Black non-Hispanic,Female,50,2907.79
Expected Pop 2020,Black non-Hispanic,Female,55,3006.28
Expected Pop 2020,Black non-Hispanic,Female,60,2659.79
Expected Pop 2020,Black non-Hispanic,Female,65,2052.25
Expected Pop 2020,Black non-Hispanic,Female,70,1413.38
Expected Pop 2020,Black non-Hispanic,Female,75,887.94
Expected Pop 2020,Black non-Hispanic,Female,80,568.38
Expected Pop 2020,Black non-Hispanic,Female,85,594.52
Expected Pop 2020,Black non-Hispanic,Male,0,3386.22
Expected Pop 2020,Black non-Hispanic,Male,5,3169.86
Expected Pop 2020,Black non-Hispanic,Male,10,3435.05
Expected Pop 2020,Black non-Hispanic,Male,15,3248.94
Expected Pop 2020,Black non-Hispanic,Male,20,3351.9
Expected Pop 2020,Black non-Hispanic,Male,25,3373.0
Expected Pop 2020,Black non-Hispanic,Male,30,3538.28
Expected Pop 2020,Black non-Hispanic,Male,35,3675.34
Expected Pop 2020,Black non-Hispanic,Male,40,3188.07
Expected Pop 2020,Black non-Hispanic,Male,45,3151.69
Expected Pop 2020,Black non-Hispanic,Male,50,2914.66
Expected Pop 2020,Black non-Hispanic,Male,55,3056.14
Expected Pop 2020,Black non-Hispanic,Male,60,2664.63
Expected Pop 2020,Black non-Hispanic,Male,65,1883.57
Expected Pop 2020,Black non-Hispanic,Male,70,1130.59
Expected Pop 2020,Black non-Hispanic,Male,75,617.98
Expected Pop 2020,Black non-Hispanic,Male,80,385.4
Expected Pop 2020,Black non-Hispanic,Male,85,279.73
Expected Pop 2020,Hispanic,Female,0,
Expected Pop 2020,Hispanic,Female,5,
Expected Pop 2020,Hispanic,Female,10,
Expected Pop 2020,Hispanic,Female,15,
Expected Pop 2020,Hispanic,Female,20,
Expected Pop 2020,Hispanic,Female,25,
Expected Pop 2020,Hispanic,Female,30,
Expected Pop 2020,Hispanic,Female,35,
Expected Pop 2020,Hispanic,Female,40,
Expected Pop 2020,Hispanic,Female,45,
Expected Pop 2020,Hispanic,Female,50,
Expected Pop 2020,Hispanic,Female,55,
Expected Pop 2020,Hispanic,Female,60,
Expected Pop 2020,Hispanic,Female,65,
Expected Pop 2020,Hispanic,Female,70,
Expected Pop 2020,Hispanic,Female,75,
Expected Pop 2020,Hispanic,Female,80,
Expected Pop 2020,Hispanic,Female,85,
Expected Pop 2020,Hispanic,Male,0,
Expected Pop 2020,Hispanic,Male,5,
Expected Pop 2020,Hispanic,Male,10,
Expected Pop 2020,Hispanic,Male,15,
Expected Pop 2020,Hispanic,Male,20,
Expected Pop 2020,Hispanic,Male,25,
Expected Pop 2020,Hispanic,Male,30,
Expected Pop 2020,Hispanic,Male,35,
Expected Pop 2020,Hispanic,Male,40,
Expected Pop 2020,Hispanic,Male,45,
Expected Pop 2020,Hispanic,Male,50,
Expected Pop 2020,Hispanic,Male,55,
Expected Pop 2020,Hispanic,Male,60,
Expected Pop 2020,Hispanic,Male,65,
Expected Pop 2020,Hispanic,Male,70,
Expected Pop 2020,Hispanic,Male,75,
Expected Pop 2020,Hispanic,Male,80,
Expected Pop 2020,Hispanic,Male,85,
Expected Pop 2020,Am. Indian/Alaska Native,Female,0,
Expected Pop 2020,Am. Indian/Alaska Native,Female,5,
Expected Pop 2020,Am. Indian/Alaska Native,Female,10,1031.09
Expected Pop 2020,Am. Indian/Alaska Native,Female,15,1008.77
Expected Pop 2020,Am. Indian/Alaska Native,Female,20,880.75
Expected Pop 2020,Am. Indian/Alaska Native,Female,25,812.61
Expected Pop 2020,Am. Indian/Alaska Native,Female,30,945.24
Expected Pop 2020,Am. Indian/Alaska Native,Female,35,1065.08
Expected Pop 2020,Am. Indian/Alaska Native,Female,40,1016.18
Expected Pop 2020,Am. Indian/Alaska Native,Female,45,852.01
Expected Pop 2020,Am. Indian/Alaska Native,Female,50,717.23
Expected Pop 2020,Am. Indian/Alaska Native,Female,55,696.6
Expected Pop 2020,Am. Indian/Alaska Native,Female,60,569.7
Expected Pop 2020,Am. Indian/Alaska Native,Female,65,400.67
Expected Pop 2020,Am. Indian/Alaska Native,Female,70,298.46
Expected Pop 2020,Am. Indian/Alaska Native,Female,75,162.52
Expected Pop 2020,Am. Indian/Alaska Native,Female,80,102.01
Expected Pop 2020,Am. Indian/Alaska Native,Female,85,132.17
Expected Pop 2020,Am. Indian/Alaska Native,Male,0,
Expected Pop 2020,Am. Indian/Alaska Native,Male,5,
Expected Pop 2020,Am. Indian/Alaska Native,Male,10,1096.94
Expected Pop 2020,Am. Indian/Alaska Native,Male,15,1064.11
Expected Pop 2020,Am. Indian/Alaska Native,Male,20,948.07
Expected Pop 2020,Am. Indian/Alaska Native,Male,25,937.2
Expected Pop 2020,Am. Indian/Alaska Native,Male,30,1129.7
Expected Pop 2020,Am. Indian/Alaska Native,Male,35,1251.79
Expected Pop 2020,Am. Indian/Alaska Native,Male,40,1124.92
Expected Pop 2020,Am. Indian/Alaska Native,Male,45,1083.48
Expected Pop 2020,Am. Indian/Alaska Native,Male,50,781.93
Expected Pop 2020,Am. Indian/Alaska Native,Male,55,736.11
Expected Pop 2020,Am. Indian/Alaska Native,Male,60,633.44
Expected Pop 2020,Am. Indian/Alaska Native,Male,65,450.3
Expected Pop 2020,Am. Indian/Alaska Native,Male,70,255.05
Expected Pop 2020,Am. Indian/Alaska Native,Male,75,152.18
Expected Pop 2020,Am. Indian/Alaska Native,Male,80,77.7
Expected Pop 2020,Am. Indian/Alaska Native,Male,85,83.24
Expected Pop 2020,White non-Hispanic,Female,0,14620.02
Expected Pop 2020,White non-Hispanic,Female,5,15132.44
Expected Pop 2020,White non-Hispanic,Female,10,13610.6
Expected Pop 2020,White non-Hispanic,Female,15,12814.26
Expected Pop 2020,White non-Hispanic,Female,20,11775.13
Expected Pop 2020,White non-Hispanic,Female,25,13383.77
Expected Pop 2020,White non-Hispanic,Female,30,22964.75
Expected Pop 2020,White non-Hispanic,Female,35,24447.16
Expected Pop 2020,White non-Hispanic,Female,40,21306.63
Expected Pop 2020,White non-Hispanic,Female,45,19141.25
Expected Pop 2020,White non-Hispanic,Female,50,17858.99
Expected Pop 2020,White non-Hispanic,Female,55,18481.0
Expected Pop 2020,White non-Hispanic,Female,60,18663.56
Expected Pop 2020,White non-Hispanic,Female,65,16808.67
Expected Pop 2020,White non-Hispanic,Female,70,12362.07
Expected Pop 2020,White non-Hispanic,Female,75,7615.36
Expected Pop 2020,White non-Hispanic,Female,80,4378.68
Expected Pop 2020,White non-Hispanic,Female,85,4423.8
Expected Pop 2020,White non-Hispanic,Male,0,15629.57
Expected Pop 2020,White non-Hispanic,Male,5,15945.28
Expected Pop 2020,White non-Hispanic,Male,10,14578.02
Expected Pop 2020,White non-Hispanic,Male,15,13581.42
Expected Pop 2020,White non-Hispanic,Male,20,12268.62
Expected Pop 2020,White non-Hispanic,Male,25,13533.59
Expected Pop 2020,White non-Hispanic,Male,30,21830.16
Expected Pop 2020,White non-Hispanic,Male,35,25798.25
Expected Pop 2020,White non-Hispanic,Male,40,23918.64
Expected Pop 2020,White non-Hispanic,Male,45,22300.98
Expected Pop 2020,White non-Hispanic,Male,50,19843.44
Expected Pop 2020,White non-Hispanic,Male,55,19239.01
Expected Pop 2020,White non-Hispanic,Male,60,18438.22
Expected Pop 2020,White non-Hispanic,Male,65,16032.92
Expected Pop 2020,White non-Hispanic,Male,70,12182.85
Expected Pop 2020,White non-Hispanic,Male,75,7000.83
Expected Pop 2020,White non-Hispanic,Male,80,3507.96
Expected Pop 2020,White non-Hispanic,Male,85,2940.85
Expected Pop 2020,Asian/Pacific Islander,Total,0,6937.79
Expected Pop 2020,Asian/Pacific Islander,Total,5,5747.89
Expected Pop 2020,Asian/Pacific Islander,Total,10,4729.85
Expected Pop 2020,Asian/Pacific Islander,Total,15,4461.24
Expected Pop 2020,Asian/Pacific Islander,Total,20,3486.9
Expected Pop 2020,Asian/Pacific Islander,Total,25,4697.42
Expected Pop 2020,Asian/Pacific Islander,Total,30,7696.99
Expected Pop 2020,Asian/Pacific Islander,Total,35,6712.96
Expected Pop 2020,Asian/Pacific Islander,Total,40,6809.05
Expected Pop 2020,Asian/Pacific Islander,Total,45,6277.57
Expected Pop 2020,Asian/Pacific Islander,Total,50,4735.64
Expected Pop 2020,Asian/Pacific Islander,Total,55,3715.36
Expected Pop 2020,Asian/Pacific Islander,Total,60,2695.45
Expected Pop 2020,Asian/Pacific Islander,Total,65,2050.94
Expected Pop 2020,Asian/Pacific Islander,Total,70,1585.17
Expected Pop 2020,Asian/Pacific Islander,Total,75,938.45
Expected Pop 2020,Asian/Pacific Islander,Total,80,600.04
Expected Pop 2020,Asian/Pacific Islander,Total,85,464.25
Expected Pop 2020,Black non-Hispanic,Total,0,6652.16
Expected Pop 2020,Black non-Hispanic,Total,5,6332.09
Expected Pop 2020,Black non-Hispanic,Total,10,6838.62
Expected Pop 2020,Black non-Hispanic,Total,15,6458.22
Expected Pop 2020,Black non-Hispanic,Total,20,6454.15
Expected Pop 2020,Black non-Hispanic,Total,25,6935.86
Expected Pop 2020,Black non-Hispanic,Total,30,7441.39
Expected Pop 2020,Black non-Hispanic,Total,35,7200.65
Expected Pop 2020,Black non-Hispanic,Total,40,6280.72
Expected Pop 2020,Black non-Hispanic,Total,45,6132.96
Expected Pop 2020,Black non-Hispanic,Total,50,5822.45
Expected Pop 2020,Black non-Hispanic,Total,55,6062.42
Expected Pop 2020,Black non-Hispanic,Total,60,5324.42
Expected Pop 2020,Black non-Hispanic,Total,65,3935.82
Expected Pop 2020,Black non-Hispanic,Total,70,2543.97
Expected Pop 2020,Black non-Hispanic,Total,75,1505.92
Expected Pop 2020,Black non-Hispanic,Total,80,953.78
Expected Pop 2020,Black non-Hispanic,Total,85,874.25
Expected Pop 2020,Hispanic,Total,0,
Expected Pop 2020,Hispanic,Total,5,
Expected Pop 2020,Hispanic,Total,10,
Expected Pop 2020,Hispanic,Total,15,
Expected Pop 2020,Hispanic,Total,20,
Expected Pop 2020,Hispanic,Total,25,
Expected Pop 2020,Hispanic,Total,30,
Expected Pop 2020,Hispanic,Total,35,
Expected Pop 2020,Hispanic,Total,40,
Expected Pop 2020,Hispanic,Total,45,
Expected Pop 2020,Hispanic,Total,50,
Expected Pop 2020,Hispanic,Total,55,
Expected Pop 2020,Hispanic,Total,60,
Expected Pop 2020,Hispanic,Total,65,
Expected Pop 2020,Hispanic,Total,70,
Expected Pop 2020,Hispanic,Total,75,
Expected Pop 2020,Hispanic,Total,80,
Expected Pop 2020,Hispanic,Total,85,
Expected Pop 2020,Am. Indian/Alaska Native,Total,0,
Expected Pop 2020,Am. Indian/Alaska Native,Total,5,
Expected Pop 2020,Am. Indian/Alaska Native,Total,10,2128.03
Expected Pop 2020,Am. Indian/Alaska Native,Total,15,2072.88
Expected Pop 2020,Am. Indian/Alaska Native,Total,20,1828.82
Expected Pop 2020,Am. Indian/Alaska Native,Total,25,1749.81
Expected Pop 2020,Am. Indian/Alaska Native,Total,30,2074.94
Expected Pop 2020,Am. Indian/Alaska Native,Total,35,2316.87
Expected Pop 2020,Am. Indian/Alaska Native,Total,40,2141.1
Expected Pop 2020,Am. Indian/Alaska Native,Total,45,1935.49
Expected Pop 2020,Am. Indian/Alaska Native,Total,50,1499.16
Expected Pop 2020,Am. Indian/Alaska Native,Total,55,1432.71
Expected Pop 2020,Am. Indian/Alaska Native,Total,60,1203.15
Expected Pop 2020,Am. Indian/Alaska Native,Total,65,850.97
Expected Pop 2020,Am. Indian/Alaska Native,Total,70,553.51
Expected Pop 2020,Am. Indian/Alaska Native,Total,75,314.71
Expected Pop 2020,Am. Indian/Alaska Native,Total,80,179.71
Expected Pop 2020,Am. Indian/Alaska Native,Total,85,215.42
Expected Pop 2020,White non-Hispanic,Total,0,30249.6
Expected Pop 2020,White non-Hispanic,Total,5,31077.71
Expected Pop 2020,White non-Hispanic,Total,10,28188.62
Expected Pop 2020,White non-Hispanic,Total,15,26395.68
Expected Pop 2020,White non-Hispanic,Total,20,24043.75
Expected Pop 2020,White non-Hispanic,Total,25,26917.36
Expected Pop 2020,White non-Hispanic,Total,30,44794.91
Expected Pop 2020,White non-Hispanic,Total,35,50245.41
Expected Pop 2020,White non-Hispanic,Total,40,45225.27
Expected Pop 2020,White non-Hispanic,Total,45,41442.23
Expected Pop 2020,White non-Hispanic,Total,50,37702.43
Expected Pop 2020,White non-Hispanic,Total,55,37720.01
Expected Pop 2020,White non-Hispanic,Total,60,37101.78
Expected Pop 2020,White non-Hispanic,Total,65,32841.58
Expected Pop 2020,White non-Hispanic,Total,70,24544.91
Expected Pop 2020,White non-Hispanic,Total,75,14616.19
Expected Pop 2020,White non-Hispanic,Total,80,7886.64
Expected Pop 2020,White non-Hispanic,Total,85,7364.66
Expected Pop 2020,Asian/Pacific Islander,Female,Total,37091.58
Expected Pop 2020,Black non-Hispanic,Female,Total,47298.8
Expected Pop 2020,Hispanic,Female,Total,
Expected Pop 2020,Am. Indian/Alaska Native,Female,Total,11306.01
Expected Pop 2020,White non-Hispanic,Female,Total,269788.12
Expected Pop 2020,Asian/Pacific Islander,Male,Total,37251.39
Expected Pop 2020,Black non-Hispanic,Male,Total,46451.04
Expected Pop 2020,Hispanic,Male,Total,
Expected Pop 2020,Am. Indian/Alaska Native,Male,Total,12492.17
Expected Pop 2020,White non-Hispanic,Male,Total,278570.62
Expected Pop 2020,Asian/Pacific Islander,Total,Total,74342.97
Expected Pop 2020,Black non-Hispanic,Total,Total,93749.84
Expected Pop 2020,Hispanic,Total,Total,
Expected Pop 2020,Am. Indian/Alaska Native,Total,Total,23798.18
Expected Pop 2020,White non-Hispanic,Total,Total,548358.75
Expected Pop 2020,Total,Female,0,37775.0
Expected Pop 2020,Total,Female,5,38482.21
Expected Pop 2020,Total,Female,10,39075.09
Expected Pop 2020,Total,Female,15,35263.43
Expected Pop 2020,Total,Female,20,30390.21
Expected Pop 2020,Total,Female,25,32592.51
Expected Pop 2020,Total,Female,30,47591.95
Expected Pop 2020,Total,Female,35,48515.22
Expected Pop 2020,Total,Female,40,42571.68
Expected Pop 2020,Total,Female,45,37930.27
Expected Pop 2020,Total,Female,50,33369.32
Expected Pop 2020,Total,Female,55,32251.06
Expected Pop 2020,Total,Female,60,29795.66
Expected Pop 2020,Total,Female,65,25104.69
Expected Pop 2020,Total,Female,70,18038.1
Expected Pop 2020,Total,Female,75,11162.81
Expected Pop 2020,Total,Female,80,6519.57
Expected Pop 2020,Total,Female,85,6609.63
Expected Pop 2020,Total,Male,0,39738.71
Expected Pop 2020,Total,Male,5,40338.8
Expected Pop 2020,Total,Male,10,40802.73
Expected Pop 2020,Total,Male,15,36684.75
Expected Pop 2020,Total,Male,20,31804.23
Expected Pop 2020,Total,Male,25,33382.01
Expected Pop 2020,Total,Male,30,49200.38
Expected Pop 2020,Total,Male,35,53447.57
Expected Pop 2020,Total,Male,40,48950.89
Expected Pop 2020,Total,Male,45,44188.6
Expected Pop 2020,Total,Male,50,37042.09
Expected Pop 2020,Total,Male,55,34226.39
Expected Pop 2020,Total,Male,60,29875.48
Expected Pop 2020,Total,Male,65,23684.92
Expected Pop 2020,Total,Male,70,17108.14
Expected Pop 2020,Total,Male,75,9783.06
Expected Pop 2020,Total,Male,80,5144.97
Expected Pop 2020,Total,Male,85,4208.05
Expected Pop 2020,Total,Total,0,77513.7
Expected Pop 2020,Total,Total,5,78821.02
Expected Pop 2020,Total,Total,10,79877.81
Expected Pop 2020,Total,Total,15,71948.18
Expected Pop 2020,Total,Total,20,62194.44
Expected Pop 2020,Total,Total,25,65974.52
Expected Pop 2020,Total,Total,30,96792.33
Expected Pop 2020,Total,Total,35,101962.79
Expected Pop 2020,Total,Total,40,91522.58
Expected Pop 2020,Total,Total,45,82118.87
Expected Pop 2020,Total,Total,50,70411.41
Expected Pop 2020,Total,Total,55,66477.45
Expected Pop 2020,Total,Total,60,59671.14
Expected Pop 2020,Total,Total,65,48789.61
Expected Pop 2020,Total,Total,70,35146.25
Expected Pop 2020,Total,Total,75,20945.87
Expected Pop 2020,Total,Total,80,11664.54
Expected Pop 2020,Total,Total,85,10817.67
Expected Pop 2020,Total,Female,Total,553038.38
Expected Pop 2020,Total,Male,Total,579611.75
Expected Pop 2020,Total,Total,Total,1132650.12
Net Migration Rate,Asian/Pacific Islander,Female,0,-11.92
Net Migration Rate,Asian/Pacific Islander,Female,5,1.73
Net Migration Rate,Asian/Pacific Islander,Female,10,12.85
Net Migration Rate,Asian/Pacific Islander,Female,15,45.77
Net Migration Rate,Asian/Pacific Islander,Female,20,101.93
Net Migration Rate,Asian/Pacific Islander,Female,25,142.34
Net Migration Rate,Asian/Pacific Islander,Female,30,55.57
Net Migration Rate,Asian/Pacific Islander,Female,35,40.81
Net Migration Rate,Asian/Pacific Islander,Female,40,30.29
Net Migration Rate,Asian/Pacific Islander,Female,45,24.05
Net Migration Rate,Asian/Pacific Islander,Female,50,26.15
Net Migration Rate,Asian/Pacific Islander,Female,55,18.74
Net Migration Rate,Asian/Pacific Islander,Female,60,30.37
Net Migration Rate,Asian/Pacific Islander,Female,65,25.94
Net Migration Rate,Asian/Pacific Islander,Female,70,26.09
Net Migration Rate,Asian/Pacific Islander,Female,75,23.63
Net Migration Rate,Asian/Pacific Islander,Female,80,8.38
Net Migration Rate,Asian/Pacific Islander,Female,85,31.63
Net Migration Rate,Asian/Pacific Islander,Male,0,-12.74
Net Migration Rate,Asian/Pacific Islander,Male,5,2.28
Net Migration Rate,Asian/Pacific Islander,Male,10,13.72
Net Migration Rate,Asian/Pacific Islander,Male,15,54.96
Net Migration Rate,Asian/Pacific Islander,Male,20,121.0
Net Migration Rate,Asian/Pacific Islander,Male,25,159.39
Net Migration Rate,Asian/Pacific Islander,Male,30,66.49
Net Migration Rate,Asian/Pacific Islander,Male,35,47.97
Net Migration Rate,Asian/Pacific Islander,Male,40,20.24
Net Migration Rate,Asian/Pacific Islander,Male,45,25.1
Net Migration Rate,Asian/Pacific Islander,Male,50,15.86
Net Migration Rate,Asian/Pacific Islander,Male,55,13.6
Net Migration Rate,Asian/Pacific Islander,Male,60,22.23
Net Migration Rate,Asian/Pacific Islander,Male,65,22.29
Net Migration Rate,Asian/Pacific Islander,Male,70,23.97
Net Migration Rate,Asian/Pacific Islander,Male,75,19.26
Net Migration Rate,Asian/Pacific Islander,Male,80,29.17
Net Migration Rate,Asian/Pacific Islander,Male,85,14.6
Net Migration Rate,Black non-Hispanic,Female,0,2.57
Net Migration Rate,Black non-Hispanic,Female,5,7.26
Net Migration Rate,Black non-Hispanic,Female,10,0.68
Net Migration Rate,Black non-Hispanic,Female,15,14.44
Net Migration Rate,Black non-Hispanic,Female,20,24.67
Net Migration Rate,Black non-Hispanic,Female,25,46.58
Net Migration Rate,Black non-Hispanic,Female,30,28.14
Net Migration Rate,Black non-Hispanic,Female,35,21.76
Net Migration Rate,Black non-Hispanic,Female,40,18.71
Net Migration Rate,Black non-Hispanic,Female,45,18.32
Net Migration Rate,Black non-Hispanic,Female,50,14.8
Net Migration Rate,Black non-Hispanic,Female,55,10.13
Net Migration Rate,Black non-Hispanic,Female,60,14.35
Net Migration Rate,Black non-Hispanic,Female,65,13.18
Net Migration Rate,Black non-Hispanic,Female,70,8.44
Net Migration Rate,Black non-Hispanic,Female,75,6.53
Net Migration Rate,Black non-Hispanic,Female,80,10.46
Net Migration Rate,Black non-Hispanic,Female,85,5.94
Net Migration Rate,Black non-Hispanic,Male,0,1.04
Net Migration Rate,Black non-Hispanic,Male,5,6.32
Net Migration Rate,Black non-Hispanic,Male,10,0.3
Net Migration Rate,Black non-Hispanic,Male,15,7.75
Net Migration Rate,Black non-Hispanic,Male,20,20.31
Net Migration Rate,Black non-Hispanic,Male,25,75.54
Net Migration Rate,Black non-Hispanic,Male,30,54.65
Net Migration Rate,Black non-Hispanic,Male,35,28.68
Net Migration Rate,Black non-Hispanic,Male,40,25.24
Net Migration Rate,Black non-Hispanic,Male,45,21.43
Net Migration Rate,Black non-Hispanic,Male,50,18.02
Net Migration Rate,Black non-Hispanic,Male,55,6.98
Net Migration Rate,Black non-Hispanic,Male,60,6.66
Net Migration Rate,Black non-Hispanic,Male,65,3.05
Net Migration Rate,Black non-Hispanic,Male,70,1.26
Net Migration Rate,Black non-Hispanic,Male,75,-4.09
Net Migration Rate,Black non-Hispanic,Male,80,-9.0
Net Migration Rate,Black non-Hispanic,Male,85,-5.18
Net Migration Rate,Hispanic,Female,0,
Net Migration Rate,Hispanic,Female,5,
Net Migration Rate,Hispanic,Female,10,
Net Migration Rate,Hispanic,Female,15,
Net Migration Rate,Hispanic,Female,20,
Net Migration Rate,Hispanic,Female,25,
Net Migration Rate,Hispanic,Female,30,
Net Migration Rate,Hispanic,Female,35,
Net Migration Rate,Hispanic,Female,40,
Net Migration Rate,Hispanic,Female,45,
Net Migration Rate,Hispanic,Female,50,
Net Migration Rate,Hispanic,Female,55,
Net Migration Rate,Hispanic,Female,60,
Net Migration Rate,Hispanic,Female,65,
Net Migration Rate,Hispanic,Female,70,
Net Migration Rate,Hispanic,Female,75,
Net Migration Rate,Hispanic,Female,80,
Net Migration Rate,Hispanic,Female,85,
Net Migration Rate,Hispanic,Male,0,
Net Migration Rate,Hispanic,Male,5,
Net Migration Rate,Hispanic,Male,10,
Net Migration Rate,Hispanic,Male,15,
Net Migration Rate,Hispanic,Male,20,
Net Migration Rate,Hispanic,Male,25,
Net Migration Rate,Hispanic,Male,30,
Net Migration Rate,Hispanic,Male,35,
Net Migration Rate,Hispanic,Male,40,
Net Migration Rate,Hispanic,Male,45,
Net Migration Rate,Hispanic,Male,50,
Net Migration Rate,Hispanic,Male,55,
Net Migration Rate,Hispanic,Male,60,
Net Migration Rate,Hispanic,Male,65,
Net Migration Rate,Hispanic,Male,70,
Net Migration Rate,Hispanic,Male,75,
Net Migration Rate,Hispanic,Male,80,
Net Migration Rate,Hispanic,Male,85,
Net Migration Rate,Am. Indian/Alaska Native,Female,0,
Net Migration Rate,Am. Indian/Alaska Native,Female,5,
Net Migration Rate,Am. Indian/Alaska Native,Female,10,-11.55
Net Migration Rate,Am. Indian/Alaska Native,Female,15,2.3
Net Migration Rate,Am. Indian/Alaska Native,Female,20,12.18
Net Migration Rate,Am. Indian/Alaska Native,Female,25,59.73
Net Migration Rate,Am. Indian/Alaska Native,Female,30,17.54
Net Migration Rate,Am. Indian/Alaska Native,Female,35,-3.95
Net Migration Rate,Am. Indian/Alaska Native,Female,40,2.93
Net Migration Rate,Am. Indian/Alaska Native,Female,45,5.87
Net Migration Rate,Am. Indian/Alaska Native,Female,50,5.96
Net Migration Rate,Am. Indian/Alaska Native,Female,55,1.64
Net Migration Rate,Am. Indian/Alaska Native,Female,60,-5.39
Net Migration Rate,Am. Indian/Alaska Native,Female,65,-3.91
Net Migration Rate,Am. Indian/Alaska Native,Female,70,-10.88
Net Migration Rate,Am. Indian/Alaska Native,Female,75,-14.47
Net Migration Rate,Am. Indian/Alaska Native,Female,80,-26.48
Net Migration Rate,Am. Indian/Alaska Native,Female,85,-47.04
Net Migration Rate,Am. Indian/Alaska Native,Male,0,
Net Migration Rate,Am. Indian/Alaska Native,Male,5,
Net Migration Rate,Am. Indian/Alaska Native,Male,10,-5.01
Net Migration Rate,Am. Indian/Alaska Native,Male,15,-0.48
Net Migration Rate,Am. Indian/Alaska Native,Male,20,9.17
Net Migration Rate,Am. Indian/Alaska Native,Male,25,38.71
Net Migration Rate,Am. Indian/Alaska Native,Male,30,17.2
Net Migration Rate,Am. Indian/Alaska Native,Male,35,-3.74
Net Migration Rate,Am. Indian/Alaska Native,Male,40,-7.19
Net Migration Rate,Am. Indian/Alaska Native,Male,45,-10.29
Net Migration Rate,Am. Indian/Alaska Native,Male,50,-3.7
Net Migration Rate,Am. Indian/Alaska Native,Male,55,-6.26
Net Migration Rate,Am. Indian/Alaska Native,Male,60,-8.44
Net Migration Rate,Am. Indian/Alaska Native,Male,65,-11.17
Net Migration Rate,Am. Indian/Alaska Native,Male,70,-15.31
Net Migration Rate,Am. Indian/Alaska Native,Male,75,-25.75
Net Migration Rate,Am. Indian/Alaska Native,Male,80,-25.35
Net Migration Rate,Am. Indian/Alaska Native,Male,85,-57.95
Net Migration Rate,White non-Hispanic,Female,0,-5.93
Net Migration Rate,White non-Hispanic,Female,5,-10.06
Net Migration Rate,White non-Hispanic,Female,10,0.55
Net Migration Rate,White non-Hispanic,Female,15,16.09
Net Migration Rate,White non-Hispanic,Female,20,46.21
Net Migration Rate,White non-Hispanic,Female,25,119.78
Net Migration Rate,White non-Hispanic,Female,30,36.4
Net Migration Rate,White non-Hispanic,Female,35,10.57
Net Migration Rate,White non-Hispanic,Female,40,6.02
Net Migration Rate,White non-Hispanic,Female,45,10.77
Net Migration Rate,White non-Hispanic,Female,50,10.57
Net Migration Rate,White non-Hispanic,Female,55,7.79
Net Migration Rate,White non-Hispanic,Female,60,4.24
Net Migration Rate,White non-Hispanic,Female,65,2.11
Net Migration Rate,White non-Hispanic,Female,70,1.75
Net Migration Rate,White non-Hispanic,Female,75,-0.19
Net Migration Rate,White non-Hispanic,Female,80,10.64
Net Migration Rate,White non-Hispanic,Female,85,42.72
Net Migration Rate,White non-Hispanic,Male,0,-7.75
Net Migration Rate,White non-Hispanic,Male,5,-10.19
Net Migration Rate,White non-Hispanic,Male,10,-0.31
Net Migration Rate,White non-Hispanic,Male,15,13.38
Net Migration Rate,White non-Hispanic,Male,20,36.77
